"","ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","results5"
"1","-1","1","-1","-1","1","1","1",0.696174785450637
"2","1","-1","-1","1","-1","1","1",0.5
"3","1","1","1","1","1","1","1",0.741632595489067
"4","1","1","-1","1","1","-1","1",0.575921157417095
"5","-1","1","-1","1","1","1","-1",0.729891940608427
"6","1","-1","1","-1","1","-1","1",0.771359290370218
"7","1","-1","1","1","-1","-1","1",0.593530990532299
"8","-1","-1","1","1","1","1","1",0.738803343783754
"9","-1","1","1","-1","1","-1","1",0.818982580671922
"10","-1","1","-1","-1","-1","1","-1",0.5
"11","-1","1","1","-1","-1","-1","-1",0.588594500466183
"12","-1","-1","-1","-1","-1","-1","1",0.776781297296717
"13","-1","-1","-1","1","1","-1","1",0.525869741100324
"14","-1","-1","1","-1","-1","1","1",0.617827748838257
"15","-1","-1","1","1","-1","1","-1",0.5
"16","1","1","1","-1","-1","1","1",0.656059448529821
"17","-1","-1","-1","1","-1","-1","-1",0.587211844717977
"18","-1","1","1","1","-1","-1","1",0.59449367671137
"19","1","-1","-1","-1","1","1","1",0.777469489683512
"20","1","1","1","1","-1","1","-1",0.5
"21","1","1","-1","1","-1","-1","-1",0.587530681601028
"22","1","-1","-1","1","1","1","-1",0.69967238478432
"23","-1","1","-1","1","-1","1","1",0.505765465962048
"24","1","1","-1","-1","-1","-1","1",0.814040846306589
"25","1","1","1","-1","1","1","-1",0.713203174624794
"26","1","-1","1","1","1","-1","-1",0.5
"27","-1","-1","1","-1","1","1","-1",0.661407627692624
"28","-1","-1","-1","-1","1","-1","-1",0.5
"29","1","-1","-1","-1","-1","1","-1",0.5
"30","1","-1","1","-1","-1","-1","-1",0.585936497185774
"31","1","1","-1","-1","1","-1","-1",0.535754342269434
"32","-1","1","1","1","1","-1","-1",0.541111286866933
